logical_ability,creativity_level,communication,leadership,problem_solving,teamwork,career,tech_skill_count,soft_skill_count
8,4,6,4,1,5,Cybersecurity Analyst,2,2
2,5,7,6,8,6,UI/UX Designer,3,3
8,4,10,4,4,8,AI Engineer,3,2
6,9,6,2,1,5,AI Engineer,3,2
10,7,10,9,3,9,UI/UX Designer,3,4
8,5,7,9,4,9,Web Developer,4,4
3,8,5,9,5,7,Data Scientist,5,2
4,1,8,1,8,3,Cloud Engineer,3,2
3,3,5,6,1,6,Cloud Engineer,2,1
6,10,8,9,1,8,Cloud Engineer,1,3
9,3,2,8,4,4,Cybersecurity Analyst,1,5
8,1,9,1,5,4,UI/UX Designer,4,2
3,8,5,6,1,5,Web Developer,2,5
4,6,5,5,9,5,AI Engineer,5,3
3,8,9,10,9,10,System Administrator,5,2
6,1,4,6,5,4,Data Scientist,6,2
6,3,7,9,4,9,Software Engineer,6,1
8,2,5,8,7,5,AI Engineer,5,4
3,2,6,7,1,7,Cybersecurity Analyst,5,5
5,4,2,1,8,1,Cybersecurity Analyst,4,3
6,1,7,4,2,6,Data Scientist,6,3
1,9,7,1,8,3,Game Developer,2,4
3,8,5,8,4,7,System Administrator,2,2
3,2,10,8,2,10,UI/UX Designer,4,3
9,5,7,9,3,7,AI Engineer,5,2
4,6,4,5,9,3,Software Engineer,1,2
1,10,5,5,8,5,System Administrator,5,1
5,7,6,7,10,7,UI/UX Designer,3,5
6,5,8,2,10,4,Software Engineer,5,3
3,1,1,7,7,4,AI Engineer,4,1
8,7,1,2,10,1,AI Engineer,3,1
6,6,4,4,10,3,System Administrator,2,1
5,6,3,10,10,5,Mobile App Developer,4,1
4,7,2,7,8,3,Web Developer,2,1
3,6,9,6,5,7,Cybersecurity Analyst,2,3
5,3,5,8,3,6,Web Developer,5,2
6,6,7,10,6,8,UI/UX Designer,4,2
7,6,7,2,8,4,Cybersecurity Analyst,6,2
7,10,9,6,10,8,AI Engineer,3,1
2,1,7,10,2,9,Cybersecurity Analyst,7,3
5,7,8,7,3,7,Software Engineer,3,3
3,6,6,9,5,7,Game Developer,3,1
1,10,9,3,2,6,System Administrator,1,1
7,7,4,4,9,4,Software Engineer,3,2
10,6,1,4,1,2,UI/UX Designer,1,1
7,2,5,3,9,5,Cybersecurity Analyst,4,2
10,4,5,6,3,4,Web Developer,3,1
2,10,8,7,10,8,Mobile App Developer,5,1
4,6,4,5,7,4,Cybersecurity Analyst,4,1
2,1,4,7,5,5,Cloud Engineer,2,3
6,7,2,1,2,1,AI Engineer,3,4
1,9,2,6,2,4,Cybersecurity Analyst,1,4
2,4,3,3,6,3,UI/UX Designer,4,3
1,1,6,10,2,8,AI Engineer,4,2
1,2,7,6,5,5,Cybersecurity Analyst,4,2
2,2,7,6,1,6,Cybersecurity Analyst,6,5
7,8,1,5,3,3,AI Engineer,3,3
1,9,7,2,6,4,UI/UX Designer,3,2
2,4,4,1,6,3,Cybersecurity Analyst,2,1
6,4,8,6,9,8,Cybersecurity Analyst,4,3
10,8,7,10,8,9,Game Developer,4,2
2,9,4,9,1,5,Mobile App Developer,6,3
6,3,9,4,5,5,Mobile App Developer,4,3
2,8,9,3,2,6,AI Engineer,4,3
8,7,7,6,2,6,Web Developer,4,3
10,6,4,9,2,5,AI Engineer,2,2
2,8,6,9,7,8,System Administrator,2,1
4,7,2,1,3,1,Web Developer,4,2
10,1,9,6,10,7,Web Developer,4,2
3,8,5,1,8,4,Software Engineer,3,2
1,6,7,6,2,6,Cybersecurity Analyst,4,3
3,9,9,8,4,9,Mobile App Developer,2,3
4,8,9,4,3,6,Software Engineer,4,3
1,1,2,6,10,5,AI Engineer,1,4
1,10,10,2,2,7,Cloud Engineer,3,3
1,5,3,4,3,3,Web Developer,5,3
4,8,1,9,7,5,Cloud Engineer,4,3
4,6,8,5,7,6,Web Developer,2,2
7,7,10,4,4,6,Web Developer,4,3
7,9,1,2,1,2,Cybersecurity Analyst,5,2
6,5,7,10,4,7,Cloud Engineer,3,3
1,5,2,10,8,5,Software Engineer,2,2
3,2,1,9,6,4,UI/UX Designer,2,1
2,3,5,7,5,7,Game Developer,3,1
7,2,5,7,5,6,AI Engineer,4,5
2,4,2,6,5,4,Mobile App Developer,5,2
