logical_ability,creativity_level,communication,leadership,problem_solving,teamwork,career,tech_skill_count,soft_skill_count
5,3,3,4,6,3,Cybersecurity,3,4
3,3,5,3,2,4,MBA / Management,2,4
4,5,4,6,5,5,Government Jobs,5,5
4,4,6,6,4,5,Government Jobs,4,4
3,5,2,4,4,4,MBA / Management,1,2
3,4,4,2,4,2,Government Jobs,1,3
3,3,5,1,5,3,Government Jobs,2,2
2,4,4,5,1,4,Digital Marketing,2,3
4,6,4,3,4,4,MBA / Management,1,4
6,4,4,5,4,5,MBA / Management,2,3
1,4,4,4,1,3,Digital Marketing,1,3
5,3,3,4,2,4,MBA / Management,2,3
3,1,4,3,4,3,Cybersecurity,4,4
4,4,5,4,4,4,MBA / Management,2,4
3,3,3,3,3,3,MBA / Management,2,5
4,5,4,5,4,3,Cybersecurity,2,3
5,4,3,3,4,3,MBA / Management,4,5
3,5,3,4,3,5,MBA / Management,2,4
4,4,5,3,2,4,Data Science,3,4
2,3,3,3,5,4,Government Jobs,4,3
4,3,5,5,3,4,Data Science,3,4
5,3,6,5,6,5,Digital Marketing,4,5
2,2,4,3,3,5,Software Development,3,4
3,4,3,3,4,4,Data Science,4,3
4,5,5,5,5,4,Data Science,4,5
4,4,4,6,5,5,MBA / Management,3,4
5,5,4,4,4,5,MBA / Management,3,4
2,3,2,3,3,2,Government Jobs,1,2
5,3,5,1,4,2,Government Jobs,1,2
3,3,5,3,4,3,Data Science,4,2
5,4,2,5,3,4,Government Jobs,3,4
3,4,3,4,4,3,Digital Marketing,1,4
4,3,5,2,2,4,Government Jobs,2,3
5,5,3,4,5,3,MBA / Management,2,5
5,2,4,6,4,3,Government Jobs,4,4
4,4,3,6,6,5,Government Jobs,3,5
1,2,5,5,3,4,Digital Marketing,1,5
5,4,3,4,2,4,MBA / Management,2,4
4,5,6,5,2,5,Data Science,3,4
2,4,5,6,5,4,Government Jobs,4,5
3,5,5,3,2,4,Government Jobs,3,4
2,4,4,3,4,4,MBA / Management,4,2
4,5,3,4,3,4,Government Jobs,4,5
5,2,3,4,6,4,Government Jobs,2,5
4,4,3,4,3,2,Government Jobs,4,3
4,2,3,6,2,5,Cybersecurity,3,3
5,6,4,5,6,3,Government Jobs,4,5
5,3,5,5,6,4,Government Jobs,4,4
3,5,3,2,3,3,MBA / Management,3,2
4,6,4,4,5,6,Data Science,3,5
4,2,3,4,1,3,Software Development,1,4
3,5,3,4,6,5,Government Jobs,4,3
3,5,4,5,6,4,Software Development,2,3
3,1,2,4,2,4,Cybersecurity,3,2
3,4,3,1,2,1,Digital Marketing,4,2
4,6,6,2,4,2,Digital Marketing,2,3
6,4,6,3,3,3,Data Science,4,4
3,5,5,5,2,5,Digital Marketing,4,5
4,2,5,4,3,4,Software Development,3,5
4,5,5,4,4,6,Government Jobs,4,5
3,2,3,3,3,2,Digital Marketing,2,3
4,5,6,5,6,4,Government Jobs,3,6
5,6,4,4,6,5,Government Jobs,3,5
6,1,4,5,2,5,Software Development,2,4
4,5,4,4,5,3,MBA / Management,4,4
2,3,5,6,3,3,Digital Marketing,2,4
3,3,3,3,2,2,Cybersecurity,3,2
3,4,3,3,5,3,MBA / Management,2,3
3,2,3,5,2,2,Cybersecurity,4,4
2,2,5,4,3,3,Digital Marketing,2,4
3,5,3,6,4,4,Cybersecurity,3,4
1,3,2,1,1,2,Government Jobs,2,2
3,4,4,4,3,5,MBA / Management,2,4
5,4,5,5,4,4,Government Jobs,6,6
2,4,4,2,4,4,Software Development,3,5
4,4,4,4,4,5,Digital Marketing,2,4
3,6,4,6,4,4,Government Jobs,4,3
5,4,5,3,4,3,Software Development,4,5
3,6,4,3,5,2,MBA / Management,1,2
4,2,3,4,4,3,MBA / Management,2,2
5,3,5,4,6,5,Cybersecurity,3,3
